SEED :  1
INIT_TIME :  0
FIN_TIME :  20000
ARRIVE_MIN :  10
ARRIVE_MAX :  20
QUIT_PROB :  20
CPU_MIN :  10
CPU_MAX :  20
DISK1_MIN :  30
DISK1_MAX :  50
DISK2_MIN :  30
DISK2_MAX :  50
0     Job 1    arrives
13    Job 2    arrives
16    Job 1    finishes at CPU
28    Job 2    finishes at CPU
30    Job 3    arrives
40    Job 3    finishes at CPU
47    Job 4    arrives
52    Job 1    finishes at Disk 2
57    Job 4    finishes at CPU
63    Job 5    arrives
73    Job 3    finishes at Disk 1
74    Job 1    finishes at CPU
82    Job 6    arrives
91    Job 5    finishes at CPU
91    Job 5    finishes
94    Job 2    finishes at Disk 2
97    Job 7    arrives
103   Job 3    finishes at CPU
107   Job 1    finishes at Disk 1
114   Job 8    arrives
122   Job 6    finishes at CPU
125   Job 9    arrives
133   Job 4    finishes at Disk 2
139   Job 10   arrives
140   Job 2    finishes at CPU
152   Job 7    finishes at CPU
155   Job 11   arrives
163   Job 1    finishes at CPU
169   Job 6    finishes at Disk 1
170   Job 12   arrives
176   Job 3    finishes at Disk 2
178   Job 8    finishes at CPU
183   Job 13   arrives
192   Job 9    finishes at CPU
200   Job 14   arrives
208   Job 2    finishes at Disk 1
209   Job 4    finishes at CPU
218   Job 15   arrives
220   Job 10   finishes at CPU
221   Job 7    finishes at Disk 2
232   Job 16   arrives
236   Job 11   finishes at CPU
244   Job 17   arrives
246   Job 8    finishes at Disk 1
255   Job 6    finishes at CPU
259   Job 18   arrives
270   Job 1    finishes at Disk 2
271   Job 19   arrives
272   Job 12   finishes at CPU
283   Job 3    finishes at CPU
287   Job 20   arrives
294   Job 4    finishes at Disk 1
297   Job 21   arrives
302   Job 13   finishes at CPU
312   Job 9    finishes at Disk 2
314   Job 22   arrives
319   Job 14   finishes at CPU
331   Job 23   arrives
335   Job 2    finishes at CPU
341   Job 10   finishes at Disk 1
344   Job 24   arrives
346   Job 15   finishes at CPU
357   Job 25   arrives
358   Job 11   finishes at Disk 2
364   Job 7    finishes at CPU
372   Job 26   arrives
379   Job 16   finishes at CPU
380   Job 6    finishes at Disk 1
388   Job 27   arrives
397   Job 17   finishes at CPU
399   Job 28   arrives
404   Job 12   finishes at Disk 2
411   Job 8    finishes at CPU
413   Job 29   arrives
418   Job 3    finishes at Disk 1
426   Job 18   finishes at CPU
432   Job 30   arrives
443   Job 1    finishes at CPU
446   Job 31   arrives
450   Job 14   finishes at Disk 2
459   Job 13   finishes at Disk 1
462   Job 19   finishes at CPU
462   Job 19   finishes
463   Job 32   arrives
480   Job 20   finishes at CPU
480   Job 20   finishes
482   Job 33   arrives
492   Job 15   finishes at Disk 1
493   Job 4    finishes at CPU
495   Job 34   arrives
498   Job 2    finishes at Disk 2
511   Job 21   finishes at CPU
511   Job 21   finishes
513   Job 35   arrives
527   Job 9    finishes at CPU
527   Job 36   arrives
528   Job 16   finishes at Disk 1
537   Job 22   finishes at CPU
545   Job 7    finishes at Disk 2
546   Job 37   arrives
556   Job 23   finishes at CPU
562   Job 8    finishes at Disk 1
565   Job 38   arrives
573   Job 10   finishes at CPU
573   Job 10   finishes
579   Job 39   arrives
581   Job 17   finishes at Disk 2
585   Job 24   finishes at CPU
596   Job 25   finishes at CPU
596   Job 25   finishes
597   Job 40   arrives
607   Job 1    finishes at Disk 1
608   Job 41   arrives
611   Job 11   finishes at CPU
617   Job 18   finishes at Disk 2
623   Job 42   arrives
627   Job 26   finishes at CPU
641   Job 43   arrives
644   Job 6    finishes at CPU
644   Job 6    finishes
652   Job 9    finishes at Disk 2
653   Job 44   arrives
655   Job 4    finishes at Disk 1
660   Job 27   finishes at CPU
671   Job 28   finishes at CPU
672   Job 45   arrives
681   Job 12   finishes at CPU
685   Job 46   arrives
696   Job 22   finishes at Disk 1
697   Job 29   finishes at CPU
701   Job 23   finishes at Disk 2
704   Job 47   arrives
713   Job 3    finishes at CPU
714   Job 48   arrives
725   Job 30   finishes at CPU
730   Job 49   arrives
734   Job 11   finishes at Disk 1
735   Job 24   finishes at Disk 2
743   Job 31   finishes at CPU
747   Job 50   arrives
755   Job 14   finishes at CPU
755   Job 14   finishes
764   Job 51   arrives
768   Job 13   finishes at CPU
774   Job 27   finishes at Disk 2
776   Job 26   finishes at Disk 1
776   Job 52   arrives
779   Job 32   finishes at CPU
789   Job 33   finishes at CPU
793   Job 53   arrives
803   Job 15   finishes at CPU
805   Job 54   arrives
806   Job 12   finishes at Disk 1
813   Job 34   finishes at CPU
819   Job 55   arrives
823   Job 28   finishes at Disk 2
828   Job 2    finishes at CPU
831   Job 56   arrives
841   Job 57   arrives
846   Job 35   finishes at CPU
848   Job 29   finishes at Disk 1
851   Job 58   arrives
855   Job 3    finishes at Disk 2
858   Job 36   finishes at CPU
865   Job 59   arrives
873   Job 16   finishes at CPU
875   Job 60   arrives
886   Job 61   arrives
888   Job 7    finishes at CPU
892   Job 30   finishes at Disk 1
898   Job 31   finishes at Disk 2
900   Job 62   arrives
904   Job 37   finishes at CPU
916   Job 63   arrives
922   Job 8    finishes at CPU
922   Job 8    finishes
926   Job 32   finishes at Disk 1
930   Job 13   finishes at Disk 2
935   Job 64   arrives
940   Job 38   finishes at CPU
953   Job 65   arrives
958   Job 39   finishes at CPU
963   Job 66   arrives
972   Job 33   finishes at Disk 1
973   Job 15   finishes at Disk 2
973   Job 67   arrives
977   Job 17   finishes at CPU
986   Job 68   arrives
990   Job 40   finishes at CPU
998   Job 69   arrives
1005  Job 1    finishes at CPU
1013  Job 2    finishes at Disk 2
1015  Job 41   finishes at CPU
1016  Job 70   arrives
1019  Job 34   finishes at Disk 1
1033  Job 18   finishes at CPU
1033  Job 71   arrives
1033  Job 18   finishes
1044  Job 35   finishes at Disk 2
1047  Job 42   finishes at CPU
1047  Job 42   finishes
1050  Job 72   arrives
1063  Job 73   arrives
